State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Trivandrum,"BMS|GangaCineHouse4KDolbyAtmosAttingal",Malayalam,11:00,Reserved,₹130,680,0
Kerala,Cherpulassery,"BMS|CheloorGrandCinemasCherpulassery",Malayalam,11:00,Diamond,₹140,26,3
Kerala,Cherpulassery,"BMS|CheloorGrandCinemasCherpulassery",Malayalam,11:00,Gold,₹125,220,5
Kerala,Trivandrum,"PTM|SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada",Malayalam,11:00,Platinumrecliner,₹400,45,5
Kerala,Trivandrum,"PTM|SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada",Malayalam,11:00,Gold,₹180,482,224
Kerala,Trivandrum,"PTM|SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada",Malayalam,11:00,Silver,₹150,224,0
Kerala,SultanBathery,"PTM|AiswaryaAthulyaAiswaryaCineplexSulthanBathery",Malayalam,11:00,SofaSeat,₹180,41,0
Kerala,SultanBathery,"PTM|AiswaryaAthulyaAiswaryaCineplexSulthanBathery",Malayalam,11:00,GoldClass,₹110,288,2
Kerala,Kunnamangalam,"PTM|MagicFramesCinemas4KDolbyAtmosKunnamangalam",Malayalam,11:00,Gold,₹180,177,0
Kerala,Trivandrum,"PTM|MtCineplex4KDolbyAtmosPothencode",Malayalam,11:00,Platinum3DChargesInclusive,₹159.8,350,1
Kerala,Kattanam,"PTM|GanamTheatreComplexACKattanam",Malayalam,11:00,FirstClass,₹150,191,109
Kerala,Manjeri,"PTM|LadderCinemasIndianMall",Malayalam,11:00,Executive,₹150,126,2
Kerala,Kozhikode,"PTM|CrownTheatreDolbyAtmosCalicut",Malayalam,11:00,Audi13DChargesInclusive,₹200,200,20
Kerala,Alappuzha,"BMS|SeethasTheatreAC2KAlappuzha",Malayalam,11:00,Balcony,₹150,154,0
Kerala,Alappuzha,"BMS|SeethasTheatreAC2KAlappuzha",Malayalam,11:00,FirstClass,₹100,390,327
Kerala,Kozhikode,"BMS|AashirvadCineplexxKozhikode",Malayalam,11:00,Recliner,₹380,17,0
Kerala,Kozhikode,"BMS|AashirvadCineplexxKozhikode",Malayalam,11:00,Platinum,₹220,51,0
Kerala,Kozhikode,"BMS|AashirvadCineplexxKozhikode",Malayalam,11:00,Gold,₹200,111,0
Kerala,Kochi,"BMS|KairaliSreeTheaterNorthParvur",Malayalam,11:00,Platinum,₹105,338,3
Kerala,Kozhikode,"BMS|EMaxCinemasDolbyAtmosRgbLaserCalicut",Malayalam,11:00,Audi13D,₹195,175,11
Kerala,Trivandrum,"BMS|ImpBigScreen2K3DDolbyAtmos",Tamil,11:00,UniqueCircle,₹130,370,7
Kerala,Kochi,"BMS|CentralTalkies2K3DDolbyAtmosThrippunithura",Malayalam,11:00,Platinum,₹260,37,4
Kerala,Kochi,"BMS|CentralTalkies2K3DDolbyAtmosThrippunithura",Malayalam,11:00,Gold,₹200,264,20
Kerala,Trivandrum,"BMS|NewTheatre4KRgbLaserDolbyAtmosTrivandrum",Tamil,11:00,Elite,₹150,200,5
Kerala,Kuravilangad,"BMS|BoscoCinemasKuravilangad",Malayalam,11:00,Economy3D,₹130,14,0
Kerala,Kuravilangad,"BMS|BoscoCinemasKuravilangad",Malayalam,11:00,Executive3D,₹180,112,2
